B 1
R sampleDataFile.txt 262
R sampleDataFile.txt 1234
R sampleDataFile.txt 1026
R sampleDataFile.txt 1593
R sampleDataFile.txt 625
R sampleDataFile.txt 1188
R sampleDataFile.txt 419
R sampleDataFile.txt 1919
R sampleDataFile.txt 96
R sampleDataFile.txt 44
R sampleDataFile.txt 890
R sampleDataFile.txt 447
R sampleDataFile.txt 1630
R sampleDataFile.txt 1372
R sampleDataFile.txt 1897
R sampleDataFile.txt 646
R sampleDataFile.txt 375
R sampleDataFile.txt 1418
R sampleDataFile.txt 1919
R sampleDataFile.txt 1559
R sampleDataFile.txt 420
R sampleDataFile.txt 660
R sampleDataFile.txt 957
R sampleDataFile.txt 1191
R sampleDataFile.txt 656
R sampleDataFile.txt 763
R sampleDataFile.txt 1150
R sampleDataFile.txt 1620
R sampleDataFile.txt 905
R sampleDataFile.txt 1332
R sampleDataFile.txt 915
R sampleDataFile.txt 784
R sampleDataFile.txt 87
D sampleDataFile.txt
R sampleDataFile.txt 841
W sampleDataFile.txt (789,Bebop,151-457-8346)
R sampleDataFile.txt 1556
R sampleDataFile.txt 1518
R sampleDataFile.txt 1360
R sampleDataFile.txt 575
R sampleDataFile.txt 778
R sampleDataFile.txt 220
R sampleDataFile.txt 1116
R sampleDataFile.txt 1157
R sampleDataFile.txt 1682
R sampleDataFile.txt 409
R sampleDataFile.txt 985
D sampleDataFile.txt
R sampleDataFile.txt 431
R sampleDataFile.txt 1395
R sampleDataFile.txt 757
R sampleDataFile.txt 333
R sampleDataFile.txt 358
R sampleDataFile.txt 1811
R sampleDataFile.txt 445
R sampleDataFile.txt 1224
R sampleDataFile.txt 1426
R sampleDataFile.txt 655
R sampleDataFile.txt 1095
W sampleDataFile.txt (1450,Lodoss,066-155-4202)
R sampleDataFile.txt 885
W sampleDataFile.txt (1236,Deedlit,248-030-4505)
R sampleDataFile.txt 1186
R sampleDataFile.txt 1500
R sampleDataFile.txt 1270
W sampleDataFile.txt (720,Hellsing,713-588-6172)
R sampleDataFile.txt 1762
R sampleDataFile.txt 351
R sampleDataFile.txt 1897
R sampleDataFile.txt 1589
R sampleDataFile.txt 352
R sampleDataFile.txt 1349
R sampleDataFile.txt 1128
R sampleDataFile.txt 672
R sampleDataFile.txt 1129
R sampleDataFile.txt 650
R sampleDataFile.txt 42
D sampleDataFile.txt
R sampleDataFile.txt 1303
R sampleDataFile.txt 171
R sampleDataFile.txt 1753
R sampleDataFile.txt 1906
R sampleDataFile.txt 933
R sampleDataFile.txt 635
R sampleDataFile.txt 1007
R sampleDataFile.txt 1977
R sampleDataFile.txt 817
R sampleDataFile.txt 1540
R sampleDataFile.txt 540
R sampleDataFile.txt 1459
R sampleDataFile.txt 385
R sampleDataFile.txt 199
R sampleDataFile.txt 1958
W sampleDataFile.txt (180,Alucard,723-460-6384)
R sampleDataFile.txt 95
R sampleDataFile.txt 1166
R sampleDataFile.txt 1649
W sampleDataFile.txt (2,Deedlit,040-821-0607)
R sampleDataFile.txt 247
R sampleDataFile.txt 1952
R sampleDataFile.txt 1417
R sampleDataFile.txt 1372
R sampleDataFile.txt 1224
R sampleDataFile.txt 408
R sampleDataFile.txt 762
R sampleDataFile.txt 1458
R sampleDataFile.txt 703
R sampleDataFile.txt 854
R sampleDataFile.txt 436
R sampleDataFile.txt 1849
C
